Precision,tc,m,k,n,CUBLAS GFLOPS,TSM2 GFLOPS,Speedup
Single,12800,12800,16,16,9.41176,13.913,1.4782569891284947
Double,12800,12800,16,16,4.92308,8.0,1.624998984375635
Single,6400,12800,16,16,3.01887,6.53061,2.1632630752566357
Double,6400,12800,16,16,4.38356,7.61905,1.7380964330361623
Single,3200,12800,16,16,2.71186,5.33333,1.966668633336529
Double,3200,12800,16,16,5.0,6.4,1.28
Single,1600,12800,16,16,2.90909,3.85542,1.3253010391565747
Double,1600,12800,16,16,4.63768,4.57143,0.9857148401787102
Single,800,12800,16,16,2.96296,2.58065,0.870970245970246
Double,800,12800,16,16,4.84848,3.23232,0.6666666666666666
Single,400,12800,16,16,2.28571,1.58416,0.6930712995086866
Double,400,12800,16,16,5.07937,2.05128,0.40384535877480876
Single,200,12800,16,16,3.01887,0.614203,0.20345460387495984
Double,200,12800,16,16,4.38356,0.835509,0.19060056210021076
Single,100,12800,16,16,2.75862,0.614203,0.2226486431621608
Double,100,12800,16,16,4.21053,0.835509,0.19843321387093785
Single,50,12800,16,16,2.99065,0.614203,0.20537441693277383
Double,50,12800,16,16,5.0,0.839895,0.167979
Single,25,12800,16,16,2.93578,0.614203,0.20921288379919478
Double,25,12800,16,16,5.07937,0.831169,0.1636362383523941
Single,12,12800,16,16,2.58065,0.614203,0.23800321624396958
Double,12,12800,16,16,4.32432,0.835509,0.19321164946164945
Single,6,12800,16,16,2.80702,0.618956,0.22050288205997817
Double,6,12800,16,16,4.10256,0.829016,0.20207285207285205
Single,12800,12800,16,32,5.56522,12.8,2.2999989218755057
Double,12800,12800,16,32,8.31169,9.41176,1.1323521449909704
Single,6400,12800,16,32,5.81818,10.4918,1.8032786885245902
Double,6400,12800,16,32,8.31169,8.53333,1.026666057083457
Single,3200,12800,16,32,5.37815,7.61905,1.4166674414064315
Double,3200,12800,16,32,8.76712,6.03774,0.6886799770049914
Single,1600,12800,16,32,5.92593,4.77612,0.805969695895834
Double,1600,12800,16,32,7.61905,3.42246,0.44919773462570795
Single,800,12800,16,32,5.47009,2.99065,0.5467277503660818
Double,800,12800,16,32,8.64865,2.04473,0.2364218693090829
Single,400,12800,16,32,6.03774,1.71123,0.28342227389718666
Double,400,12800,16,32,8.64865,1.12478,0.13005266717927075
Single,200,12800,16,32,5.71429,0.628067,0.10991164256626808
Double,200,12800,16,32,8.31169,0.40025,0.048155068343501736
Single,100,12800,16,32,5.66372,0.628067,0.11089301731017778
Double,100,12800,16,32,9.69697,0.401758,0.04143129245527211
Single,50,12800,16,32,5.87156,0.629302,0.10717799017637562
Double,50,12800,16,32,8.0,0.401758,0.05021975
Single,25,12800,16,32,5.81818,0.628067,0.10794904935907794
Double,25,12800,16,32,7.52941,0.401002,0.053258090607364986
Single,12,12800,16,32,5.42373,0.629302,0.11602753086897763
Double,12,12800,16,32,8.88889,0.401758,0.04519776935027883
Single,6,12800,16,32,5.61403,0.629921,0.1122047798105817
Double,6,12800,16,32,7.52941,0.401002,0.053258090607364986
Single,25600,25600,16,16,4.57143,13.0612,2.85713660714481
Double,25600,25600,16,16,7.19101,11.4286,1.589289960659212
Single,12800,25600,16,16,4.77612,12.8,2.679999665000042
Double,12800,25600,16,16,8.76712,9.14286,1.0428578598216975
Single,6400,25600,16,16,5.2459,10.4918,2.0
Double,6400,25600,16,16,9.27536,10.1587,1.0952351175587796
Single,3200,25600,16,16,5.03937,8.0,1.587500024804688
Double,3200,25600,16,16,9.14286,7.71084,0.8433728614459808
Single,1600,25600,16,16,5.16129,5.16129,1.0
Double,1600,25600,16,16,8.76712,4.92308,0.5615390230771335
Single,800,25600,16,16,5.16129,3.00469,0.5821587238849203
Double,800,25600,16,16,9.14286,2.92237,0.31963411886433785
Single,400,25600,16,16,5.33333,1.68421,0.3157895723684827
Double,400,25600,16,16,6.80851,1.62437,0.23857936611681557
Single,200,25600,16,16,5.28926,0.636816,0.12039793846398175
Double,200,25600,16,16,9.14286,0.621963,0.06802718186650566
Single,100,25600,16,16,5.20325,0.636816,0.12238812280786049
Double,100,25600,16,16,9.14286,0.614203,0.06717843213173996
Single,50,25600,16,16,5.76577,0.63745,0.11055765318422343
Double,50,25600,16,16,8.88889,0.622568,0.0700388912451386
Single,25,25600,16,16,5.51724,0.63745,0.11553784138446034
Double,25,25600,16,16,9.01408,0.622568,0.06906617203308602
Single,12,25600,16,16,5.2459,0.63745,0.12151394422310757
Double,12,25600,16,16,7.80488,0.621359,0.0796116019720995
Single,25600,25600,16,32,9.27536,19.1045,2.0597044211761055
Double,25600,25600,16,32,13.1959,12.6733,0.960396789912018
Single,12800,25600,16,32,9.92248,19.6923,1.9846147334134208
Double,12800,25600,16,32,13.913,14.2222,1.0222238194494357
Single,6400,25600,16,32,10.0,15.6098,1.56098
Double,6400,25600,16,32,14.382,10.7563,0.747900152968989
Single,3200,25600,16,32,10.1587,10.24,1.008002992508884
Double,3200,25600,16,32,14.7126,7.35632,0.5000013593790357
Single,1600,25600,16,32,10.1587,5.89862,0.5806471300461674
Double,1600,25600,16,32,14.8837,4.08946,0.27476098013262834
Single,800,25600,16,32,9.62406,3.29049,0.3419024819047263
Double,800,25600,16,32,12.8,2.18803,0.17093984375
Single,400,25600,16,32,10.24,1.75824,0.171703125
Double,400,25600,16,32,13.7634,1.15315,0.0837838034206664
Single,200,25600,16,32,10.0787,0.633037,0.06280939009991368
Double,200,25600,16,32,14.382,0.402136,0.02796106243916006
Single,100,25600,16,32,9.34307,0.634291,0.06788892730119757
Double,100,25600,16,32,12.8,0.402136,0.031416875
Single,50,25600,16,32,26.1224,0.63335,0.024245475147765903
Double,50,25600,16,32,13.3333,0.402263,0.03016980042450106
Single,25,25600,16,32,9.20863,0.633037,0.0687438848123988
Double,25,25600,16,32,14.7126,0.402136,0.027332762394138357
Single,12,25600,16,32,9.34307,0.633977,0.06785531950418866
Double,12,25600,16,32,13.0612,0.402389,0.03080796557743546
Single,512000,512000,16,16,34.3164,56.6372,1.6504411884696528
Double,512000,512000,16,16,25.8065,39.8754,1.5451688528084009
Single,256000,512000,16,16,35.7542,53.3333,1.4916653148441303
Double,256000,512000,16,16,26.1224,38.3234,1.467070407007013
Single,128000,512000,16,16,35.8543,55.1724,1.5387945100029843
Double,128000,512000,16,16,26.7223,39.0244,1.4603683066203133
Single,64000,512000,16,16,36.1582,52.6749,1.4567898844522127
Double,64000,512000,16,16,26.3918,37.2093,1.4098810994323994
Single,32000,512000,16,16,36.0563,51.6129,1.431453033173121
Double,32000,512000,16,16,26.0692,37.4269,1.435675049483682
Single,16000,512000,16,16,35.2617,51.4056,1.4578310177898401
Double,16000,512000,16,16,27.234,39.7516,1.4596313431739738
Single,8000,512000,16,16,35.1648,32.4051,0.9215209527709527
Double,8000,512000,16,16,25.7545,27.1186,1.052965501174552
Single,4000,512000,16,16,36.2606,17.8771,0.4930172142766529
Double,4000,512000,16,16,26.8908,15.0943,0.5613183691076502
Single,2000,512000,16,16,36.5714,8.97616,0.24544206675161467
Double,2000,512000,16,16,26.8344,7.73414,0.2882173627880631
Single,1000,512000,16,16,35.5556,4.2624,0.11987985015018733
Double,1000,512000,16,16,26.8344,3.70049,0.13790097784932773
Single,500,512000,16,16,35.9551,1.84784,0.051392987364796645
Double,500,512000,16,16,26.6112,1.60865,0.06045011123136123
Single,250,512000,16,16,35.3591,0.638309,0.01805218458614614
Double,250,512000,16,16,26.6667,0.575358,0.021575898030127466
Single,512000,512000,16,32,68.2667,58.4475,0.856164132732357
Double,512000,512000,16,32,65.3061,27.3504,0.41880314396358076
Single,256000,512000,16,32,66.4935,58.3144,0.8769939918939446
Double,256000,512000,16,32,67.0157,34.4086,0.5134408802713394
Single,128000,512000,16,32,68.6327,61.3909,0.8944846989845948
Double,128000,512000,16,32,67.3684,35.6546,0.529248134140042
Single,64000,512000,16,32,68.0851,55.8952,0.8209608269650776
Double,64000,512000,16,32,64.6465,32.4873,0.5025376470497243
Single,32000,512000,16,32,69.3767,58.4475,0.8424658422784594
